Keyword	Position	 	Klicks	Suchvolumen	Wettbewerber	Intent	CPC	URL
nakd	5		4170	59800	59%	Webseite	2,40 EUR	https://tise.com/search/tise?search=NAKD
get inspired	5	1	944	28400	48%	Webseite	1,00 EUR	https://tise.com/getinspired
other stories	6		179	5250	43%	Webseite	5,50 EUR	https://tise.com/c/brand-Zs9ND0
massimo dutti	8	-1	128	9650	46%	Webseite	5,50 EUR	https://tise.com/brands/massimo-dutti/SBy1f5
holzweiler	9	3	127	13500	52%	Webseite	4,80 EUR	https://tise.com/holzweiler
bodymod	5		125	1750	43%	Webseite	27,80 EUR	https://tise.com/search/tise?country_code=no&search=bodymod&location_max=country
ballkjoler	6		77	1600	51%	Do	0,90 EUR	https://tise.com/search/tise?search=ballkjoler&location_max=country
icaniwill	10	9	66	4350	45%	Webseite	2,40 EUR	https://tise.com/search/tise?search=IcanIwill
mymuse	5		56	800	49%	Divers	1,90 EUR	https://tise.com/search/tise?country_code=no&search=mymuselingerie&location_max=country
soundbox	10		52	2350	53%	Do	1,20 EUR	https://tise.com/search/tise?country_code=no&search=soundbox&location_max=country
selskapskjoler	7	NEW	52	1350	51%	Do	1,00 EUR	https://tise.com/search/tise?search=Selskapskjoler&location_max=country
xlmoto	9	1	46	4100	44%	Webseite	1,20 EUR	https://tise.com/search/tise?search=xlmoto&location_max=country
brudepikekjole	5	6	39	550	42%	Do	4,30 EUR	https://tise.com/search/tise?search=brudepikekjole
sixbondstreet	3		39	250	42%	Know Simple	5,00 EUR	https://tise.com/search/tise?search=sixbondstreet&location_max=country
smykkestativ	6	-1	36	750	43%	Do	0,90 EUR	https://tise.com/search/tise?search=Smykkestativ&location_max=country
sostyle	2	1	35	250	44%	Visit	2,30 EUR	https://tise.com/search/tise?country_code=no&search=sostyle&location_max=country
gravidkjole	4	1	33	450	41%	Do	0,70 EUR	https://tise.com/search/tise?country_code=no&search=maternitydresses&location_max=country
loftseng	7	NEW	32	800	49%	Do	2,00 EUR	https://tise.com/search/tise?search=loftseng&location_max=country
dongerikjole	7		31	800	48%	Do	0,80 EUR	https://tise.com/search/tise?search=Dongerikjole&location_max=country
korsett	10	13	30	1350	52%	Webseite	0,90 EUR	https://tise.com/search/tise?search=korsett&location_max=country
bryllupskjole	8	2	28	900	47%	Do	0,80 EUR	https://tise.com/search/tise?country_code=no&search=bryllupskjole&location_max=country
snekkerbukse	10		28	1250	51%	Do	0,90 EUR	https://tise.com/search/tise?country_code=no&search=Snekkerbukser&location_max=country
ammekjole	6		28	600	42%	Visit	0,80 EUR	https://tise.com/search/tise?search=ammekjole
juleservice	6		28	600	42%	Do	0,70 EUR	https://tise.com/search/tise?search=juleservice&location_max=country
klaffebord	7	-1	28	750	49%	Do	1,70 EUR	https://tise.com/search/tise?search=klaffebord&location_max=country
slagbord	3		26	250	44%	Do	1,60 EUR	https://tise.com/search/tise?country_code=no&search=slagbord&location_max=country
strandkjole	10	NEW	26	1150	51%	Do	0,70 EUR	https://tise.com/search/tise?country_code=no&search=strandkjolen&location_max=country
sminkebord	19	-1	26	5750	66%	Do	1,10 EUR	https://tise.com/search/tise?search=Sminkebord
lanullva	8	-2	25	1850	41%	Webseite	15,80 EUR	https://tise.com/brands/lanullva/aztxmk?country_code=no
ball kjole	9		25	950	44%	Do	0,80 EUR	https://tise.com/search/tise?search=ballkjoler&location_max=country
stolseng	6		24	450	42%	Do	2,00 EUR	https://tise.com/search/tise?country_code=no&search=stolseng&location_max=country
tweed jakke	8		24	800	44%	Do	0,70 EUR	https://tise.com/search/tise?search=tweedjakke&location_max=country
brudesko	10	3	22	900	44%	Divers	0,90 EUR	https://tise.com/search/tise?search=brudesko&location_max=country
gulvspeil	8	10	21	650	42%	Do	0,70 EUR	https://tise.com/search/tise?search=Gulvspeil&location_max=country
ekornes	11	NEW	19	2000	40%	Webseite	5,00 EUR	https://tise.com/search/tise?country_code=no&brand=73y5y7&location_max=country
lv belte	8	-1	19	600	42%	Do	1,60 EUR	https://tise.com/t/1KpHC6yJs
coverbrands	18	1	18	3550	46%	Webseite	2,00 EUR	https://tise.com/search/tise?search=coverbrands&location_max=country
kurvstativ	10	NEW	17	750	44%	Do	1,10 EUR	https://tise.com/search/tise?search=kurvstativ
stellebord	15	1	17	2600	55%	Do	1,70 EUR	https://tise.com/search/tise?search=stellebord
aimn tights	9		15	550	43%	Do	2,00 EUR	https://tise.com/search/tise?brand=xQCrJU&location_max=country
avlastningsbord	17	NEW	15	2700	54%	Do	0,70 EUR	https://tise.com/search/tise?country_code=NO&search=Avlastningsbord&location_max=country
fjellreven keb	8	2	13	400	40%	Do	0,90 EUR	https://tise.com/search/tise?country_code=no&search=Keb&location_max=country
didriksons	11	4	12	1250	49%	Do	1,00 EUR	https://tise.com/brands/didriksons/SquToF
kort ballkjole	9		12	450	42%	Do	0,80 EUR	https://tise.com/search/tise?country_code=NO&search=ballkjoler&location_max=country
escada parfyme	13	11	11	1350	52%	Do	0,70 EUR	https://tise.com/search/tise?country_code=no&search=ESCADA&location_max=country
wedgewood	10		11	450	47%	Do	1,30 EUR	https://tise.com/search/tise?country_code=no&search=wedgewood&location_max=country
kjøkkensofa	9	1	11	400	41%	Do	1,30 EUR	https://tise.com/search/tise?search=kj%C3%B8kkensofa&location_max=country
sovestol	15		10	1600	52%	Do	1,40 EUR	https://tise.com/search/tise?country_code=no&search=Sovestol&location_max=country
bærejakke	9	NEW	10	350	40%	Do	1,80 EUR	https://tise.com/t/nAJhwalC0
barskap	13	-2	9	1200	51%	Do	0,70 EUR	https://tise.com/search/tise?country_code=no&search=Barskap&location_max=country
gjesteseng	14	2	8	1250	50%	Do	1,60 EUR	https://tise.com/search/tise?country_code=no&search=gjesteseng&location_max=country
minmote	12	3	8	950	40%	Webseite	1,50 EUR	https://tise.com/search/tise?country_code=no&search=MINMOTE&location_max=country
kjøpmannsdisk	10	-1	8	350	40%	Do	1,10 EUR	https://tise.com/search/tise?search=kj%C3%B8pmannsdisk&location_max=country
holzweiler genser	16	NEW	7	1300	46%	Do	3,30 EUR	https://tise.com/brands/holzweiler/R4jOKa?country_code=NO
